Time Since Start, Startboard, Stardboard ADC, Port, Port ADC, Front, Back, RPM ,,,
17.36156988,0.340738722,26,-10.85320169,57,58,1,0,,,
17.39369917,0.340738722,26,-11.90351154,54,54,0,0,,,
17.42522693,0,25,-10.85320169,57,55,1,0,,,
17.4574244,0.340738722,26,-10.85320169,57,54,1,0,,,
17.48955059,0,25,-11.90351154,54,55,2,0,,,
17.52161694,0.340738722,26,-10.85320169,57,55,1,0,,,
17.55369163,0,25,-10.85320169,57,54,1,0,,,
17.58540106,0,25,-10.85320169,57,55,1,0,,,
17.61718273,0.340738722,26,-10.85320169,57,55,1,0,,,
17.64931035,0.340738722,26,-10.85320169,57,55,1,0,,,
17.68165612,0.340738722,26,-10.50309841,58,48,1,0,,,
17.71330857,0,25,-10.85320169,57,55,1,0,,,
17.74580789,0.340738722,26,-10.85320169,57,59,1,0,,,
17.77779603,0.340738722,26,-10.50309841,58,55,1,0,,,
17.80996776,0.340738722,26,-10.85320169,57,58,1,0,,,
17.8420558,0,25,-11.20330497,56,54,1,0,,,
17.87377644,0,25,-10.85320169,57,54,1,0,,,
17.90564418,0.340738722,26,-10.85320169,57,58,0,0,,,
17.93812871,0.681477443,27,-10.85320169,57,55,1,0,,,
17.96957874,0.340738722,26,-10.50309841,58,55,1,0,,,
18.00199103,0.340738722,26,-10.85320169,57,55,1,0,,,
18.0334332,0.340738722,26,-10.85320169,57,55,0,0,,,
18.06553793,0.340738722,26,-10.85320169,57,56,1,0,,,
18.09798408,0,25,-10.85320169,57,55,1,0,,,
18.12962699,-0.340738722,24,-10.85320169,57,54,1,0,,,
18.16173553,-0.340738722,24,-11.55340826,55,55,1,0,,,
18.19409871,0.340738722,26,-10.85320169,57,55,1,0,,,
18.22611618,0.340738722,26,-10.85320169,57,55,1,0,,,
18.25825167,0.340738722,26,-11.20330497,56,55,1,0,,,
18.29011226,0.340738722,26,-10.85320169,57,52,1,0,,,
18.32167268,-0.681477443,23,-10.85320169,57,55,1,0,,,
18.35401154,0.340738722,26,-11.55340826,55,54,0,0,,,
18.38586068,0.340738722,26,-10.85320169,57,55,1,0,,,
18.4182837,0.340738722,26,-10.85320169,57,56,1,0,,,
18.45036864,0.340738722,26,-10.85320169,57,55,1,0,,,
