Time Since Start, Startboard, Stardboard ADC, Port, Port ADC, Front, Back, RPM ,,,,
20.21141768,10.22216165,56,-10.15299513,28,0,0,0,,,,
20.24330735,10.56290037,57,-10.85320169,26,0,0,0,,,,
20.27540183,10.56290037,57,-11.20330497,25,-1,0,0,,,,
20.30734205,10.56290037,57,-11.20330497,25,0,1,0,,,,
20.33956194,10.56290037,57,-11.20330497,25,0,-1,0,,,,
20.37222767,10.56290037,57,-11.55340826,24,-1,0,0,,,,
20.40328622,10.56290037,57,-10.85320169,26,0,0,0,,,,
20.43579054,10.56290037,57,-10.85320169,26,-1,0,0,,,,
20.46781063,9.881422925,55,-10.85320169,26,0,0,0,,,,
20.49984145,10.90363909,58,-10.85320169,26,0,0,0,,,,
20.53198719,10.56290037,57,-10.85320169,26,0,0,0,,,,
20.56349158,10.56290037,57,-10.85320169,26,0,0,0,,,,
20.59578657,10.56290037,57,-10.85320169,26,0,0,0,,,,
20.62799215,10.56290037,57,-11.20330497,25,0,0,0,,,,
20.65985918,10.22216165,56,-10.15299513,28,0,1,0,,,,
20.69157124,10.56290037,57,-11.20330497,25,0,-1,0,,,,
20.7240088,10.56290037,57,-10.85320169,26,-1,0,0,,,,
20.75598407,10.56290037,57,-11.20330497,25,0,0,0,,,,
20.78779984,10.56290037,57,-10.85320169,26,0,0,0,,,,
20.81987023,10.56290037,57,-11.20330497,25,0,0,0,,,,
20.85166979,10.56290037,57,-10.85320169,26,-1,0,0,,,,
20.88412046,10.56290037,57,-10.85320169,26,-1,1,0,,,,
20.9156642,10.56290037,57,-10.85320169,26,0,0,0,,,,
20.94813848,10.56290037,57,-11.20330497,25,0,-1,0,,,,
20.98015499,10.56290037,57,-10.85320169,26,0,0,0,,,,
21.01221991,10.56290037,57,-10.85320169,26,0,0,0,,,,
21.0442574,10.56290037,57,-11.55340826,24,0,0,0,,,,
21.07590866,10.56290037,57,-10.85320169,26,0,0,0,,,,
21.10824895,10.56290037,57,-10.85320169,26,0,0,0,,,,
21.1402967,11.24437781,59,-11.20330497,25,0,-1,0,,,,
21.17232895,10.56290037,57,-11.20330497,25,0,1,0,,,,
21.2045126,10.56290037,57,-11.20330497,25,0,-1,0,,,,
21.23616552,10.56290037,57,-11.20330497,25,0,0,0,,,,
21.26833677,10.56290037,57,-11.20330497,25,0,0,0,,,,
21.30046296,10.22216165,56,-10.85320169,26,0,0,0,,,,
21.33236623,10.56290037,57,-11.55340826,24,0,0,0,,,,
21.36448741,10.56290037,57,-11.20330497,25,0,0,0,,,,
21.39604783,10.56290037,57,-10.85320169,26,-1,0,0,,,,
21.42849493,10.56290037,57,-10.85320169,26,0,-1,0,,,,
21.46012259,10.22216165,56,-11.20330497,25,0,0,0,,,,
21.4924705,10.56290037,57,-11.20330497,25,0,1,0,,,,
21.52444172,10.56290037,57,-11.20330497,25,0,-1,0,,,,
21.55617738,10.56290037,57,-10.85320169,26,0,0,0,,,,
21.5883193,10.90363909,58,-11.20330497,25,0,0,0,,,,
21.6207099,10.56290037,57,-10.85320169,26,0,0,0,,,,
21.65228987,10.56290037,57,-10.85320169,26,0,0,0,,,,
21.68471408,10.56290037,57,-11.20330497,25,0,0,0,,,,
21.71671796,10.56290037,57,-11.20330497,25,0,0,0,,,,
21.74876356,10.56290037,57,-11.20330497,25,0,0,0,,,,
21.78101993,10.56290037,57,-10.85320169,26,0,0,0,,,,
21.81260276,10.90363909,58,-11.55340826,24,0,0,0,,,,
21.84473133,10.56290037,57,-11.20330497,25,-1,0,0,,,,
21.87658286,10.56290037,57,-10.85320169,26,0,0,0,,,,
21.9087019,10.56290037,57,-10.85320169,26,0,0,0,,,,
21.94098711,10.56290037,57,-10.85320169,26,-1,0,0,,,,
21.97297502,10.56290037,57,-11.20330497,25,0,0,0,,,,
22.00522637,10.56290037,57,-11.20330497,25,0,0,0,,,,
22.0364759,10.56290037,57,-11.20330497,25,0,0,0,,,,
22.06929779,10.90363909,58,-11.55340826,24,0,0,0,,,,
22.1008513,10.90363909,58,-10.50309841,27,0,0,0,,,,
22.13296485,9.881422925,55,-11.20330497,25,-1,0,0,,,,
22.16481352,10.56290037,57,-10.85320169,26,-1,0,0,,,,
22.19702888,10.90363909,58,-11.20330497,25,0,0,0,,,,
22.22918773,10.90363909,58,-11.20330497,25,-1,0,0,,,,
22.26098514,10.90363909,58,-11.20330497,25,0,0,0,,,,
22.2927022,10.56290037,57,-11.20330497,25,0,1,0,,,,
22.32531118,10.56290037,57,-11.20330497,25,0,0,0,,,,
22.35726237,10.56290037,57,-11.20330497,25,0,0,0,,,,
22.38927174,10.56290037,57,-10.85320169,26,0,0,0,,,,
22.42170978,10.90363909,58,-11.20330497,25,0,1,0,,,,
22.45330715,10.56290037,57,-11.20330497,25,0,1,0,,,,
22.48530602,10.56290037,57,-11.20330497,25,0,1,0,,,,
22.51735973,10.56290037,57,-10.85320169,26,0,1,0,,,,
22.5493207,10.22216165,56,-11.20330497,25,0,1,0,,,,
22.58113933,10.56290037,57,-10.85320169,26,0,0,0,,,,
22.61330009,10.56290037,57,-10.85320169,26,0,1,0,,,,
22.64527631,10.56290037,57,-10.85320169,26,-1,0,0,,,,
22.67700553,10.56290037,57,-10.85320169,26,0,1,0,,,,
22.70907164,10.56290037,57,-10.85320169,26,0,1,0,,,,
22.74111319,10.56290037,57,-11.20330497,25,0,1,0,,,,
22.77341104,10.56290037,57,-10.85320169,26,0,0,0,,,,
22.80532384,10.56290037,57,-11.20330497,25,0,-1,0,,,,
22.8381052,10.56290037,57,-10.85320169,26,0,0,0,,,,
22.86934757,10.56290037,57,-11.55340826,24,0,0,0,,,,
22.90151763,10.90363909,58,-11.20330497,25,-1,0,0,,,,
22.93344617,10.56290037,57,-11.20330497,25,0,0,0,,,,
22.96560049,10.56290037,57,-10.85320169,26,0,0,0,,,,
22.99764872,10.90363909,58,-11.55340826,24,-1,0,0,,,,
23.02947545,10.56290037,57,-11.20330497,25,0,0,0,,,,
23.06171346,10.56290037,57,-10.85320169,26,0,0,0,,,,
23.09373784,9.881422925,55,-11.20330497,25,0,0,0,,,,
23.12583375,10.56290037,57,-10.85320169,26,0,1,0,,,,
23.15785098,10.56290037,57,-11.20330497,25,0,0,0,,,,
23.18914413,10.90363909,58,-10.85320169,26,0,0,0,,,,
23.22159243,10.56290037,57,-11.20330497,25,0,0,0,,,,
23.2540319,10.56290037,57,-11.20330497,25,-1,0,0,,,,
23.28556848,10.56290037,57,-11.20330497,25,0,0,0,,,,
23.31745648,10.56290037,57,-11.20330497,25,0,0,0,,,,
23.34952664,10.56290037,57,-11.20330497,25,0,0,0,,,,
23.38161778,10.22216165,56,-10.85320169,26,0,0,0,,,,
23.41394019,10.56290037,57,-11.20330497,25,0,1,0,,,,
23.44563341,10.90363909,58,-11.20330497,25,0,0,0,,,,
23.47797918,10.56290037,57,-11.20330497,25,0,0,0,,,,
23.5097692,10.56290037,57,-10.85320169,26,0,0,0,,,,
23.54211593,10.56290037,57,-11.20330497,25,0,0,0,,,,
23.57340741,10.56290037,57,-10.85320169,26,0,-1,0,,,,
23.60568047,9.881422925,55,-10.50309841,27,0,0,0,,,,
23.63810802,10.56290037,57,-11.55340826,24,0,0,0,,,,
23.67010379,10.90363909,58,-10.85320169,26,0,0,0,,,,
23.70203304,10.56290037,57,-10.85320169,26,0,0,0,,,,
23.73405623,10.56290037,57,-11.20330497,25,0,0,0,,,,
23.76616693,10.56290037,57,-11.20330497,25,0,1,0,,,,
23.79814911,10.56290037,57,-11.20330497,25,0,0,0,,,,
23.82978106,10.56290037,57,-11.20330497,25,0,0,0,,,,
23.86219072,10.56290037,57,-10.15299513,28,0,-1,0,,,,
23.89438295,10.56290037,57,-11.20330497,25,-1,0,0,,,,
23.92640996,10.56290037,57,-11.20330497,25,-1,0,0,,,,
23.95834231,10.90363909,58,-11.55340826,24,0,-1,0,,,,
23.99013114,10.56290037,57,-10.85320169,26,0,0,0,,,,
24.0219059,9.881422925,55,-11.20330497,25,0,-1,0,,,,
24.05441046,10.56290037,57,-11.20330497,25,-1,-1,0,,,,
24.08647561,10.56290037,57,-10.85320169,26,0,0,0,,,,
24.11846662,10.56290037,57,-10.85320169,26,0,0,0,,,,
24.15035439,10.90363909,58,-10.85320169,26,-1,1,0,,,,
24.18193841,10.56290037,57,-10.85320169,26,0,0,0,,,,
24.21406364,10.56290037,57,-10.85320169,26,0,1,0,,,,
24.24613357,10.56290037,57,-10.85320169,26,0,0,0,,,,
24.27856755,10.56290037,57,-10.85320169,26,0,0,0,,,,
24.31059194,10.56290037,57,-10.85320169,26,0,0,0,,,,
24.34238386,10.56290037,57,-11.20330497,25,0,0,0,,,,
24.37461424,10.56290037,57,-10.15299513,28,0,0,0,,,,
24.40681958,10.22216165,56,-11.20330497,25,-1,0,0,,,,
24.43869519,10.22216165,56,-10.85320169,26,0,0,0,,,,
24.47050953,10.56290037,57,-10.85320169,26,0,0,0,,,,
24.50229192,10.56290037,57,-10.85320169,26,0,0,0,,,,
24.53458595,10.90363909,58,-11.20330497,25,0,0,0,,,,
24.5663588,10.56290037,57,-11.20330497,25,0,0,0,,,,
24.59865165,10.56290037,57,-10.85320169,26,0,0,0,,,,
24.63077998,10.22216165,56,-11.20330497,25,0,0,0,,,,
24.66247034,10.56290037,57,-11.20330497,25,0,0,0,,,,
24.69472265,10.90363909,58,-11.20330497,25,0,0,0,,,,
24.72694039,10.90363909,58,-10.85320169,26,0,0,0,,,,
24.75912237,10.56290037,57,-11.20330497,25,0,0,0,,,,
24.79058075,10.56290037,57,-11.20330497,25,0,0,0,,,,
24.82259321,10.56290037,57,-10.85320169,26,-1,0,0,,,,
24.85474539,10.56290037,57,-10.85320169,26,0,1,0,,,,
24.88687825,10.56290037,57,-11.55340826,24,0,-1,0,,,,
24.91870618,10.56290037,57,-11.20330497,25,0,0,0,,,,
24.95088339,10.56290037,57,-11.55340826,24,0,-1,0,,,,
24.98260832,11.58511653,60,-11.20330497,25,-1,0,0,,,,
25.01452661,10.22216165,56,-11.55340826,24,-1,0,0,,,,
25.04667282,10.56290037,57,-11.20330497,25,0,0,0,,,,
25.07892847,10.56290037,57,-11.20330497,25,-1,-1,0,,,,
25.1111393,10.56290037,57,-10.85320169,26,0,0,0,,,,
25.14317727,9.881422925,55,-11.20330497,25,0,0,0,,,,
25.17512512,10.90363909,58,-10.85320169,26,0,0,0,,,,
25.20716596,10.56290037,57,-11.20330497,25,0,1,0,,,,
25.23903155,10.56290037,57,-10.85320169,26,0,0,0,,,,
25.2713418,10.56290037,57,-10.85320169,26,0,0,0,,,,
25.30304122,10.90363909,58,-11.20330497,25,0,0,0,,,,
25.33451605,10.56290037,57,-10.85320169,26,0,-1,0,,,,
25.36712146,10.56290037,57,-10.85320169,26,-1,0,0,,,,
25.39928389,10.22216165,56,-10.85320169,26,0,1,0,,,,
25.43122816,10.56290037,57,-11.20330497,25,-1,0,0,,,,
25.46341777,10.56290037,57,-10.85320169,26,0,0,0,,,,
25.49527192,10.56290037,57,-10.85320169,26,0,1,0,,,,
25.52747607,10.90363909,58,-11.20330497,25,0,0,0,,,,
25.55903649,10.90363909,58,-10.85320169,26,0,0,0,,,,
25.5910387,10.22216165,56,-10.85320169,26,0,-1,0,,,,
25.62353587,10.56290037,57,-10.85320169,26,0,0,0,,,,
25.65564966,10.56290037,57,-11.20330497,25,0,0,0,,,,
25.68747425,10.90363909,58,-10.50309841,27,0,0,0,,,,
25.71939135,10.56290037,57,-10.85320169,26,0,0,0,,,,
25.75114012,10.56290037,57,-10.85320169,26,0,0,0,,,,
25.78345108,10.56290037,57,-10.85320169,26,0,1,0,,,,
25.81517124,10.56290037,57,-11.20330497,25,-1,0,0,,,,
25.84724045,10.56290037,57,-10.85320169,26,0,0,0,,,,
25.87957525,10.56290037,57,-11.20330497,25,0,0,0,,,,
25.91140938,10.56290037,57,-11.20330497,25,-1,0,0,,,,
25.94331861,10.56290037,57,-10.85320169,26,0,0,0,,,,
25.97483563,10.56290037,57,-11.20330497,25,-1,0,0,,,,
26.0073669,10.56290037,57,-10.85320169,26,-1,0,0,,,,
26.03889728,10.56290037,57,-11.55340826,24,0,0,0,,,,
26.07142949,10.56290037,57,-11.20330497,25,0,0,0,,,,
26.10360241,10.56290037,57,-10.85320169,26,0,0,0,,,,
26.13562322,10.56290037,57,-10.85320169,26,0,0,0,,,,
26.1679883,10.56290037,57,-11.55340826,24,0,0,0,,,,
26.20068002,10.56290037,57,-11.20330497,25,0,0,0,,,,
26.23239827,10.56290037,57,-11.20330497,25,0,0,0,,,,
26.26400423,10.56290037,57,-10.85320169,26,0,1,0,,,,
26.29598188,10.22216165,56,-11.20330497,25,0,0,0,,,,
26.32798815,10.90363909,58,-11.20330497,25,0,0,0,,,,
26.36002707,10.56290037,57,-10.85320169,26,0,0,0,,,,
26.3919735,10.56290037,57,-10.85320169,26,-1,0,0,,,,
26.42345071,10.22216165,56,-11.20330497,25,0,0,0,,,,
26.45561934,10.56290037,57,-11.20330497,25,0,1,0,,,,
26.48754406,10.56290037,57,-10.85320169,26,-1,0,0,,,,
26.52000833,10.56290037,57,-10.85320169,26,0,0,0,,,,
26.55194354,10.22216165,56,-10.85320169,26,0,1,0,,,,
26.5842402,10.56290037,57,-11.20330497,25,0,0,0,,,,
26.61572146,10.56290037,57,-11.55340826,24,1,0,0,,,,
26.648247,11.58511653,60,-10.85320169,26,-1,0,0,,,,
26.67978621,10.56290037,57,-11.20330497,25,0,0,0,,,,
26.71179891,10.56290037,57,-10.85320169,26,0,0,0,,,,
26.74419069,10.56290037,57,-10.85320169,26,-1,1,0,,,,
26.7763319,10.56290037,57,-10.85320169,26,0,-1,0,,,,
26.80834889,10.56290037,57,-10.50309841,27,0,0,0,,,,
26.83988357,10.56290037,57,-10.85320169,26,0,0,0,,,,
26.87168527,10.56290037,57,-11.20330497,25,-1,0,0,,,,
26.90398431,10.56290037,57,-10.85320169,26,0,0,0,,,,
26.93577433,10.56290037,57,-11.20330497,25,0,0,0,,,,
26.96811414,11.24437781,59,-10.85320169,26,-1,0,0,,,,
27.00033569,10.56290037,57,-11.55340826,24,-1,0,0,,,,
27.03239512,11.24437781,59,-10.85320169,26,0,0,0,,,,
27.06450677,10.56290037,57,-11.20330497,25,0,0,0,,,,
27.09603667,10.56290037,57,-11.20330497,25,0,0,0,,,,
27.12808514,10.56290037,57,-11.20330497,25,-1,0,0,,,,
27.16011977,10.56290037,57,-11.20330497,25,0,0,0,,,,
27.19271612,10.56290037,57,-11.20330497,25,0,0,0,,,,
27.22434568,11.24437781,59,-10.85320169,26,-1,0,0,,,,
27.25748992,10.56290037,57,-11.20330497,25,0,0,0,,,,
27.28817034,10.56290037,57,-11.20330497,25,0,0,0,,,,
27.32066727,10.56290037,57,-10.85320169,26,0,0,0,,,,
27.35240149,10.56290037,57,-10.85320169,26,0,0,0,,,,
27.38433623,10.56290037,57,-10.85320169,26,0,0,0,,,,
27.41617393,10.56290037,57,-10.85320169,26,0,0,0,,,,
27.448704,10.56290037,57,-10.85320169,26,-1,0,0,,,,
27.48071122,10.56290037,57,-11.20330497,25,0,0,0,,,,
27.51241517,10.56290037,57,-11.20330497,25,0,-1,0,,,,
27.54461813,10.56290037,57,-10.85320169,26,-1,0,0,,,,
27.57715535,9.881422925,55,-11.20330497,25,-1,-1,0,,,,
27.60842371,10.56290037,57,-10.85320169,26,0,-1,0,,,,
27.64080262,10.56290037,57,-10.85320169,26,0,-1,0,,,,
27.67308736,10.56290037,57,-11.20330497,25,0,1,0,,,,
27.70420313,10.56290037,57,-11.20330497,25,-1,0,0,,,,
27.73773766,10.56290037,57,-10.50309841,27,-1,0,0,,,,
27.76874781,9.881422925,55,-10.85320169,26,0,1,0,,,,
27.80077815,10.56290037,57,-10.85320169,26,-1,1,0,,,,
27.83230853,10.56290037,57,-10.85320169,26,-1,0,0,,,,
27.86433911,10.56290037,57,-10.85320169,26,0,0,0,,,,
27.89636993,10.90363909,58,-11.20330497,25,-1,0,0,,,,
27.92917895,10.90363909,58,-10.85320169,26,-1,0,0,,,,
27.96080232,10.56290037,57,-11.20330497,25,-1,0,0,,,,
27.99307323,10.56290037,57,-11.20330497,25,0,1,0,,,,
28.02541733,10.56290037,57,-11.20330497,25,0,0,0,,,,
28.05723834,10.56290037,57,-11.20330497,25,0,0,0,,,,
28.0889287,10.56290037,57,-10.85320169,26,0,1,0,,,,
28.12058806,10.56290037,57,-11.20330497,25,0,0,0,,,,
28.15311694,10.90363909,58,-10.85320169,26,0,0,0,,,,
28.18546963,10.56290037,57,-11.20330497,25,1,1,0,,,,
28.21687627,10.56290037,57,-11.20330497,25,0,0,0,,,,
28.24833298,10.56290037,57,-10.85320169,26,0,0,0,,,,
28.28036356,10.56290037,57,-10.85320169,26,-1,-1,0,,,,
28.31239438,11.58511653,60,-11.20330497,25,-1,0,0,,,,
28.3444252,10.56290037,57,-10.85320169,26,-1,0,0,,,,
28.37645483,10.56290037,57,-10.85320169,26,0,0,0,,,,
28.40898657,10.56290037,57,-10.85320169,26,0,-1,0,,,,
28.44104147,10.56290037,57,-10.85320169,26,0,0,0,,,,
28.47311187,10.90363909,58,-11.20330497,25,0,0,0,,,,
28.50517774,10.56290037,57,-11.20330497,25,0,-1,0,,,,
28.53738904,10.56290037,57,-10.15299513,28,0,0,0,,,,
28.56907129,10.22216165,56,-11.20330497,25,-1,1,0,,,,
28.60178924,10.56290037,57,-10.85320169,26,-1,0,0,,,,
28.6331706,10.56290037,57,-10.85320169,26,0,0,0,,,,
28.66553569,10.56290037,57,-11.20330497,25,0,0,0,,,,
28.69753551,10.56290037,57,-11.20330497,25,0,1,0,,,,
28.72971129,10.90363909,58,-10.85320169,26,0,0,0,,,,
28.76187348,10.56290037,57,-10.85320169,26,0,0,0,,,,
28.79343963,10.56290037,57,-10.85320169,26,-1,0,0,,,,
28.82564473,10.56290037,57,-10.85320169,26,0,0,0,,,,
28.85735393,10.22216165,56,-10.15299513,28,0,-1,0,,,,
28.88974166,10.56290037,57,-11.20330497,25,0,0,0,,,,
28.92139149,10.56290037,57,-11.20330497,25,0,0,0,,,,
28.95380259,10.90363909,58,-11.20330497,25,0,-1,0,,,,
28.98576403,10.56290037,57,-10.85320169,26,0,0,0,,,,
29.01778889,10.56290037,57,-10.85320169,26,0,0,0,,,,
29.04985237,10.56290037,57,-11.20330497,25,0,0,0,,,,
29.08104181,10.56290037,57,-10.85320169,26,0,0,0,,,,
29.1130724,10.56290037,57,-11.20330497,25,0,0,0,,,,
29.14510322,10.56290037,57,-10.85320169,26,0,0,0,,,,
