Time Since Start, Startboard, Stardboard ADC, Port, Port ADC, Front, Back, RPM ,,,,,
12.69644952,22.1480169,91,-10.15299513,28,0,1,1620,,,,,
12.72848058,20.10358457,85,-11.20330497,25,0,0,1620,,,,,
12.76047635,20.78506201,87,-11.20330497,25,0,-1,1620,,,,,
12.79248524,21.80727818,90,-11.55340826,24,0,0,1620,,,,,
12.82448602,19.76284585,84,-11.55340826,24,0,0,1680,,,,,
12.85653567,21.12580074,88,-11.20330497,25,0,0,1680,,,,,
12.88860083,22.48875562,92,-11.20330497,25,-1,0,1680,,,,,
12.92041802,22.1480169,91,-10.85320169,26,0,-1,1620,,,,,
12.95262527,21.12580074,88,-11.90351154,23,-1,1,1680,,,,,
12.98463368,21.12580074,88,-10.85320169,26,0,-1,1620,,,,,
13.01655006,22.48875562,92,-11.90351154,23,0,0,1680,,,,,
13.04858112,20.44432329,86,-11.20330497,25,0,0,1680,,,,,
13.08161306,21.46653946,89,-11.20330497,25,-1,0,1680,,,,,
13.11262488,21.80727818,90,-10.50309841,27,0,0,1620,,,,,
13.14477634,23.17023307,94,-10.85320169,26,0,0,1620,,,,,
13.17668295,23.17023307,94,-11.20330497,25,0,0,1680,,,,,
13.20887756,23.17023307,94,-11.20330497,25,0,1,1620,,,,,
13.24118733,21.46653946,89,-11.55340826,24,0,0,1560,,,,,
13.27305794,18.74062969,81,-10.50309841,27,0,1,1680,,,,,
13.30530381,21.12580074,88,-11.20330497,25,0,0,1620,,,,,
13.33690619,20.44432329,86,-11.20330497,25,0,1,1680,,,,,
13.36949158,21.12580074,88,-11.20330497,25,0,0,1620,,,,,
13.41694784,20.78506201,87,-11.20330497,25,0,0,1680,,,,,
13.44900393,20.10358457,85,-10.50309841,27,0,1,1620,,,,,
13.48100281,20.10358457,85,-11.20330497,25,0,-1,1620,,,,,
13.51310444,20.78506201,87,-11.20330497,25,0,-1,1680,,,,,
13.54489756,18.74062969,81,-11.20330497,25,1,0,1680,,,,,
13.59295774,21.46653946,89,-10.50309841,27,0,0,1680,,,,,
13.62512469,18.39989096,80,-11.55340826,24,0,0,1620,,,,,
13.65739727,19.42210713,83,-11.20330497,25,0,0,1620,,,,,
13.68910027,22.48875562,92,-11.20330497,25,-1,0,1620,,,,,
13.72118855,22.1480169,91,-11.20330497,25,0,0,1620,,,,,
13.75314808,21.12580074,88,-11.20330497,25,-1,0,1620,,,,,
13.78523993,21.46653946,89,-11.20330497,25,0,0,1620,,,,,
13.81726456,21.12580074,88,-10.85320169,26,0,0,1620,,,,,
13.84958911,21.46653946,89,-11.20330497,25,-1,0,1680,,,,,
13.88130307,21.80727818,90,-11.55340826,24,0,0,1680,,,,,
13.91477489,19.42210713,83,-11.20330497,25,1,0,1680,,,,,
13.96110344,19.42210713,83,-11.90351154,23,0,1,1620,,,,,
13.99337053,21.80727818,90,-11.20330497,25,0,0,1620,,,,,
14.02537155,20.78506201,87,-11.20330497,25,0,0,1620,,,,,
14.0574584,19.08136841,82,-11.55340826,24,0,1,1620,,,,,
14.08945227,19.76284585,84,-11.20330497,25,0,0,1620,,,,,
14.12136436,21.46653946,89,-10.85320169,26,0,0,1680,,,,,
14.15347672,19.42210713,83,-11.20330497,25,0,1,1680,,,,,
14.18565178,20.44432329,86,-10.85320169,26,1,1,1620,,,,,
14.21751261,21.12580074,88,-11.20330497,25,-1,0,1620,,,,,
14.24954939,23.17023307,94,-11.20330497,25,0,0,1620,,,,,
14.28156638,22.48875562,92,-11.20330497,25,-1,0,1680,,,,,
14.31369424,21.46653946,89,-11.20330497,25,0,0,1620,,,,,
14.34562159,20.78506201,87,-10.85320169,26,0,0,1620,,,,,
14.37770653,19.42210713,83,-11.20330497,25,0,0,1620,,,,,
14.40956354,21.80727818,90,-11.20330497,25,1,-1,1680,,,,,
14.44164014,21.12580074,88,-11.55340826,24,0,0,1560,,,,,
14.47373319,22.1480169,91,-11.55340826,24,-1,1,1680,,,,,
14.50576115,19.76284585,84,-11.20330497,25,0,0,1560,,,,,
14.53776956,21.80727818,90,-11.20330497,25,0,0,1620,,,,,
