Time Since Start, Front, Front ADC, Back, Back ADC, RPM ,,,,
15.81795931,-0.340738722,56,10.85320169,57,1560,,,,
15.84991717,-0.681477443,55,10.15299513,55,1560,,,,
15.88192344,0,57,9.452788573,53,1560,,,,
15.91421175,0,57,9.102685292,52,1560,,,,
15.94610882,0,57,8.402478731,50,1560,,,,
15.97842741,0,57,9.802891853,54,1560,,,,
16.01015759,0.681477443,59,10.85320169,57,1500,,,,
16.04215693,0,57,9.802891853,54,1500,,,,
16.07421064,0.340738722,58,9.452788573,53,1560,,,,
16.10629487,0,57,9.102685292,52,1560,,,,
16.1542542,0.340738722,58,9.102685292,52,1560,,,,
16.18650031,0.340738722,58,9.102685292,52,1560,,,,
16.21833205,0,57,8.402478731,50,1560,,,,
16.25022125,0.340738722,58,7.70227217,48,1560,,,,
16.28249502,-0.681477443,55,9.102685292,52,1560,,,,
16.33021474,0,57,9.102685292,52,1560,,,,
16.36239696,0,57,8.402478731,50,1560,,,,
16.39439678,0,57,8.052375451,49,1560,,,,
16.42653728,0,57,9.452788573,53,1560,,,,
16.4601872,-0.340738722,56,9.452788573,53,1500,,,,
16.50649118,0,57,9.452788573,53,1560,,,,
16.53854394,0,57,9.102685292,52,1560,,,,
16.57049656,0,57,10.15299513,55,1560,,,,
16.60239363,0,57,9.452788573,53,1560,,,,
16.63465691,0,57,9.452788573,53,1560,,,,
16.66665149,0,57,9.102685292,52,1620,,,,
16.69860339,0,57,8.402478731,50,1560,,,,
16.73062801,0,57,9.102685292,52,1560,,,,
16.76261878,-0.681477443,55,9.102685292,52,1560,,,,
16.79468203,0,57,8.052375451,49,1620,,,,
16.82672334,0,57,8.402478731,50,1560,,,,
16.85873008,0,57,8.752582012,51,1560,,,,
16.89086199,0,57,8.402478731,50,1560,,,,
16.92295504,-0.340738722,56,8.402478731,50,1560,,,,
16.95481753,0,57,9.452788573,53,1560,,,,
17.00287676,0,57,10.50309841,56,1560,,,,
17.0348413,0,57,9.102685292,52,1500,,,,
17.06704593,0,57,9.452788573,53,1560,,,,
17.09931469,0,57,9.452788573,53,1560,,,,
