Time Since Start, Startboard, Stardboard ADC, Port, Port ADC, Front, Back, RPM ,,,
11.64478517,0.681477443,27,-10.15299513,59,58,1,0,,,
11.67740536,0.681477443,27,-10.15299513,59,57,1,0,,,
11.70936775,0.681477443,27,-10.15299513,59,55,1,0,,,
11.74125409,0.681477443,27,-10.15299513,59,57,1,0,,,
11.77302408,0.681477443,27,-9.802891853,60,57,1,0,,,
11.80528569,1.022216165,28,-10.15299513,59,57,1,0,,,
11.8371892,0.681477443,27,-10.15299513,59,58,1,0,,,
11.86934328,0.681477443,27,-9.802891853,60,57,1,0,,,
11.90105081,1.022216165,28,-9.802891853,60,57,1,0,,,
11.93356586,0.681477443,27,-9.802891853,60,57,1,0,,,
11.96528172,0.681477443,27,-10.15299513,59,56,0,0,,,
11.99724174,1.022216165,28,-10.15299513,59,57,1,0,,,
12.02946806,0.681477443,27,-9.802891853,60,58,0,0,,,
12.06118321,0.681477443,27,-10.15299513,59,57,1,0,,,
12.09323335,0.681477443,27,-9.802891853,60,57,1,0,,,
12.12581348,1.022216165,28,-10.15299513,59,57,1,0,,,
12.15774941,0.681477443,27,-9.802891853,60,56,1,0,,,
12.18924546,0.681477443,27,-10.15299513,59,57,0,0,,,
12.22182274,0.681477443,27,-9.802891853,60,57,0,0,,,
12.25364923,0.681477443,27,-9.802891853,60,57,1,0,,,
12.2853539,0.681477443,27,-10.15299513,59,57,1,0,,,
12.31785846,0.681477443,27,-10.15299513,59,56,1,0,,,
12.3500824,0.681477443,27,-10.15299513,59,56,1,0,,,
12.38141584,0.681477443,27,-10.15299513,59,57,1,0,,,
12.41362834,0.681477443,27,-10.15299513,59,57,0,0,,,
12.44600344,0.681477443,27,-10.15299513,59,57,1,0,,,
12.47776175,1.022216165,28,-9.802891853,60,57,0,0,,,
12.50996256,0.681477443,27,-9.802891853,60,57,0,0,,,
12.54175568,1.022216165,28,-10.15299513,59,57,0,0,,,
12.57398629,0.681477443,27,-10.15299513,59,58,1,0,,,
12.6059227,0.681477443,27,-10.15299513,59,57,1,0,,,
12.63803196,1.022216165,28,-10.15299513,59,57,0,0,,,
12.67007017,0.681477443,27,-10.15299513,59,58,1,0,,,
12.70221138,1.022216165,28,-10.15299513,59,59,1,0,,,
12.7337079,0.681477443,27,-10.15299513,59,57,1,0,,,
12.76601529,0.681477443,27,-9.802891853,60,58,0,0,,,
12.79772091,0.681477443,27,-10.15299513,59,57,1,0,,,
12.83020139,0.681477443,27,-10.15299513,59,57,0,0,,,
12.86237025,0.681477443,27,-10.15299513,59,57,0,0,,,
12.89396262,1.022216165,28,-10.15299513,59,57,1,0,,,
12.92630839,0.681477443,27,-10.15299513,59,56,1,0,,,
12.95815873,1.022216165,28,-10.15299513,59,57,1,0,,,
12.99014688,0.681477443,27,-10.15299513,59,58,1,0,,,
13.02189565,0.681477443,27,-10.15299513,59,57,1,0,,,
13.05433846,1.022216165,28,-10.15299513,59,57,1,0,,,
13.08606172,1.022216165,28,-10.15299513,59,58,1,0,,,
13.11839581,0.681477443,27,-9.802891853,60,57,0,0,,,
13.15007329,0.681477443,27,-10.15299513,59,57,0,0,,,
13.18219137,1.022216165,28,-10.15299513,59,57,1,0,,,
13.21427298,1.022216165,28,-10.15299513,59,57,1,0,,,
13.24619102,0.681477443,27,-10.15299513,59,57,0,0,,,
13.27848005,0.681477443,27,-10.15299513,59,57,1,0,,,
13.31061983,1.022216165,28,-10.15299513,59,57,1,0,,,
13.34252739,0.681477443,27,-10.15299513,59,58,1,0,,,
13.37452507,1.022216165,28,-10.15299513,59,57,1,0,,,
13.40647411,0.681477443,27,-10.15299513,59,57,1,0,,,
13.43845153,0.681477443,27,-10.15299513,59,57,0,0,,,
13.47047186,0.681477443,27,-10.15299513,59,57,1,0,,,
13.50261521,0.681477443,27,-10.15299513,59,57,1,0,,,
13.53483105,0.681477443,27,-10.15299513,59,57,0,0,,,
13.56679893,0.681477443,27,-10.15299513,59,57,1,0,,,
13.59852052,0.681477443,27,-9.802891853,60,57,1,0,,,
13.63072634,0.681477443,27,-10.15299513,59,57,1,0,,,
13.66283941,1.022216165,28,-10.15299513,59,57,1,0,,,
13.69493294,0.681477443,27,-10.15299513,59,57,0,0,,,
13.72650194,1.022216165,28,-10.15299513,59,57,1,0,,,
13.75887084,0.681477443,27,-10.15299513,59,57,1,0,,,
13.79070497,1.022216165,28,-10.15299513,59,58,0,0,,,
13.82275796,0.681477443,27,-10.15299513,59,57,2,0,,,
13.85487437,0.681477443,27,-9.802891853,60,57,1,0,,,
13.88712978,0.681477443,27,-10.15299513,59,57,1,0,,,
13.91894507,0.681477443,27,-10.15299513,59,56,1,0,,,
13.95102215,0.681477443,27,-9.802891853,60,57,0,0,,,
13.98275852,0.681477443,27,-9.802891853,60,58,0,0,,,
14.01461339,0.681477443,27,-10.15299513,59,57,1,0,,,
14.04697609,0.681477443,27,-9.802891853,60,58,1,0,,,
14.07927847,1.022216165,28,-10.15299513,59,57,1,0,,,
14.11115527,0.681477443,27,-10.15299513,59,57,1,0,,,
14.14304352,0.681477443,27,-10.15299513,59,58,1,0,,,
14.17517042,0.681477443,27,-10.15299513,59,57,1,0,,,
14.20717835,1.022216165,28,-10.15299513,59,57,1,0,,,
14.23919582,0.681477443,27,-9.802891853,60,56,1,0,,,
14.27116966,0.681477443,27,-10.15299513,59,58,1,0,,,
14.30296874,0.681477443,27,-10.15299513,59,58,1,0,,,
14.33519101,0.681477443,27,-10.15299513,59,57,1,0,,,
14.3670671,0.681477443,27,-10.15299513,59,57,1,0,,,
14.39929771,0.681477443,27,-10.15299513,59,56,1,0,,,
14.43144631,1.022216165,28,-10.15299513,59,57,1,0,,,
14.46293759,0.681477443,27,-10.15299513,59,57,1,0,,,
14.49532175,1.022216165,28,-10.15299513,59,57,0,0,,,
14.52701735,0.681477443,27,-10.15299513,59,57,1,0,,,
14.55902624,0.681477443,27,-10.15299513,59,57,1,0,,,
14.5910573,1.022216165,28,-10.15299513,59,58,1,0,,,
14.623456,0.681477443,27,-10.15299513,59,57,0,0,,,
14.65548396,0.681477443,27,-10.15299513,59,58,1,0,,,
14.68775368,0.681477443,27,-10.15299513,59,58,1,0,,,
14.7195375,0.681477443,27,-10.15299513,59,57,1,0,,,
14.75179648,1.022216165,28,-10.15299513,59,58,1,0,,,
14.78366208,0.681477443,27,-10.15299513,59,57,0,0,,,
14.81524563,0.681477443,27,-10.15299513,59,57,1,0,,,
14.84776735,0.681477443,27,-10.15299513,59,57,1,0,,,
14.87948346,0.681477443,27,-9.802891853,60,57,1,0,,,
14.91231036,1.022216165,28,-10.15299513,59,57,1,0,,,
14.94362426,0.681477443,27,-10.15299513,59,58,1,0,,,
14.97569442,0.681477443,27,-10.15299513,59,57,0,0,,,
15.00735402,1.022216165,28,-10.15299513,59,57,0,0,,,
15.03940701,0.681477443,27,-10.15299513,59,57,1,0,,,
15.07181573,0.681477443,27,-10.15299513,59,57,1,0,,,
15.10400152,1.022216165,28,-9.802891853,60,57,1,0,,,
15.13580799,0.681477443,27,-10.15299513,59,58,1,0,,,
15.16763186,0.681477443,27,-9.802891853,60,57,1,0,,,
15.19979286,0.681477443,27,-10.15299513,59,58,0,0,,,
15.23163772,1.022216165,28,-9.802891853,60,56,1,0,,,
15.26393032,0.681477443,27,-10.15299513,59,58,1,0,,,
15.29615021,1.022216165,28,-10.15299513,59,57,0,0,,,
15.32864571,1.022216165,28,-10.15299513,59,57,1,0,,,
15.3601594,0.681477443,27,-10.15299513,59,57,0,0,,,
15.39217329,0.681477443,27,-10.15299513,59,56,0,0,,,
15.42416835,0.681477443,27,-10.15299513,59,56,0,0,,,
15.45602989,0.681477443,27,-10.15299513,59,57,0,0,,,
15.48829985,1.022216165,28,-10.15299513,59,57,0,0,,,
15.52001762,1.022216165,28,-10.15299513,59,57,1,0,,,
15.55178618,0.681477443,27,-10.15299513,59,57,0,0,,,
15.58399653,1.022216165,28,-9.802891853,60,57,1,0,,,
15.61631799,0.681477443,27,-10.15299513,59,57,1,0,,,
15.64834523,1.022216165,28,-10.15299513,59,57,1,0,,,
15.68032861,0.681477443,27,-9.802891853,60,57,1,0,,,
15.7120223,1.022216165,28,-10.15299513,59,57,1,0,,,
15.74391985,1.022216165,28,-10.15299513,59,56,1,0,,,
15.77637696,0.681477443,27,-9.802891853,60,57,1,0,,,
15.80788708,1.022216165,28,-10.15299513,59,57,1,0,,,
15.84046435,0.681477443,27,-10.15299513,59,57,0,0,,,
15.87221336,1.022216165,28,-9.802891853,60,57,1,0,,,
15.90408587,0.681477443,27,-9.802891853,60,57,1,0,,,
15.93624973,1.022216165,28,-10.15299513,59,57,1,0,,,
15.96833873,0.681477443,27,-9.802891853,60,58,0,0,,,
16.00047445,0.681477443,27,-10.15299513,59,57,0,0,,,
16.03258348,0.681477443,27,-10.15299513,59,57,1,0,,,
16.06447363,1.022216165,28,-10.15299513,59,57,1,0,,,
16.09648728,0.681477443,27,-10.15299513,59,57,1,0,,,
16.12822247,1.022216165,28,-9.802891853,60,57,1,0,,,
16.16022301,1.022216165,28,-10.15299513,59,58,0,0,,,
16.19250154,0.681477443,27,-10.15299513,59,57,0,0,,,
16.22418594,0.681477443,27,-10.15299513,59,57,0,0,,,
16.2564404,1.022216165,28,-10.15299513,59,58,1,0,,,
16.2883029,0.681477443,27,-10.15299513,59,58,1,0,,,
16.32033467,1.022216165,28,-10.15299513,59,58,1,0,,,
16.35265398,1.022216165,28,-10.15299513,59,58,1,0,,,
16.3844614,1.022216165,28,-10.15299513,59,57,0,0,,,
16.41686702,0.681477443,27,-10.15299513,59,58,0,0,,,
16.44884253,1.022216165,28,-10.15299513,59,57,1,0,,,
16.48086476,0.681477443,27,-10.15299513,59,58,1,0,,,
16.51295352,1.022216165,28,-10.15299513,59,57,1,0,,,
16.54476023,1.022216165,28,-10.50309841,58,57,0,0,,,
16.57637882,1.022216165,28,-10.15299513,59,57,1,0,,,
16.60896349,0.681477443,27,-10.15299513,59,57,1,0,,,
16.64111376,0.681477443,27,-10.15299513,59,57,0,0,,,
16.67265701,1.022216165,28,-10.15299513,59,57,1,0,,,
16.70464969,0.681477443,27,-10.15299513,59,58,1,0,,,
16.73662567,0.681477443,27,-10.15299513,59,57,1,0,,,
16.76875973,0.681477443,27,-10.15299513,59,58,1,0,,,
16.80111027,0.681477443,27,-10.15299513,59,57,1,0,,,
16.83308029,1.022216165,28,-10.15299513,59,57,1,0,,,
16.86515737,0.681477443,27,-10.15299513,59,58,1,0,,,
16.89715409,0.681477443,27,-10.15299513,59,57,1,0,,,
16.92939091,0.681477443,27,-10.15299513,59,57,1,0,,,
16.96133876,0.681477443,27,-10.15299513,59,57,1,0,,,
16.99318004,1.022216165,28,-9.802891853,60,57,1,0,,,
17.0249064,1.022216165,28,-9.802891853,60,57,1,0,,,
17.05702305,0.681477443,27,-10.15299513,59,57,1,0,,,
17.0892489,1.022216165,28,-10.15299513,59,57,1,0,,,
17.1208992,0.681477443,27,-9.802891853,60,57,1,0,,,
17.15296626,0.681477443,27,-10.15299513,59,57,0,0,,,
17.18538785,0.681477443,27,-10.15299513,59,56,0,0,,,
17.21698356,0.681477443,27,-10.15299513,59,58,0,0,,,
17.24925852,0.681477443,27,-9.802891853,60,57,0,0,,,
17.28101587,0.681477443,27,-10.15299513,59,58,1,0,,,
17.31346297,0.681477443,27,-9.802891853,60,57,1,0,,,
17.3452425,1.022216165,28,-10.15299513,59,57,1,0,,,
17.37738943,1.022216165,28,-10.15299513,59,57,1,0,,,
17.40934229,1.022216165,28,-10.15299513,59,58,1,0,,,
17.44107866,1.022216165,28,-10.15299513,59,56,0,0,,,
17.47357893,0.681477443,27,-10.15299513,59,58,0,0,,,
17.50561619,0.681477443,27,-10.15299513,59,57,0,0,,,
17.53750372,0.681477443,27,-9.802891853,60,57,1,0,,,
17.56923103,0.681477443,27,-10.15299513,59,57,1,0,,,
17.60162807,0.681477443,27,-10.15299513,59,57,1,0,,,
17.6334033,1.022216165,28,-10.15299513,59,57,0,0,,,
17.66561699,1.022216165,28,-10.15299513,59,57,1,0,,,
17.69779015,0.681477443,27,-10.15299513,59,57,1,0,,,
17.72938681,1.022216165,28,-10.15299513,59,56,1,0,,,
17.76153421,0.681477443,27,-10.15299513,59,58,1,0,,,
17.79378176,1.022216165,28,-10.15299513,59,57,1,0,,,
17.82591796,0.681477443,27,-10.15299513,59,57,1,0,,,
17.8577404,1.022216165,28,-10.15299513,59,57,2,0,,,
17.88987637,0.681477443,27,-9.802891853,60,57,0,0,,,
17.92151046,0.681477443,27,-10.15299513,59,57,1,0,,,
