Time Since Start, Startboard, Port, Front, Back, RPM 
18.90883803,25,82,74,1,7500
18.94011378,25,84,93,1,7740
18.97131872,26,83,72,2,7620
19.00257063,25,86,79,1,7620
19.03382015,25,82,91,0,7740
19.06507087,26,84,68,1,7620
19.09632444,25,84,87,1,7620
19.12757635,25,85,85,1,7620
19.15886688,25,83,68,1,7740
19.19011021,25,82,90,1,7740
19.23699164,25,84,78,1,7740
19.25263953,25,83,73,1,7620
19.29946828,25,84,93,1,7620
19.33075023,25,81,72,1,7620
19.36200047,25,84,78,1,7740
19.39322853,25,83,91,1,7620
19.42448092,25,85,67,2,7620
19.45578432,24,82,85,1,7740
19.48703313,25,82,85,0,7620
19.51828527,24,84,69,2,7620
19.54951787,25,84,91,1,7620
19.58079267,25,84,79,1,7740
19.61199784,25,81,73,1,7620
19.64325905,25,84,92,1,7620
19.67450237,25,84,72,2,7740
19.70580149,25,86,79,1,7740
19.73705387,25,82,92,1,7740
19.76828718,25,84,68,1,7740
19.79951167,25,84,85,1,7740
19.83081102,25,84,86,2,7620
19.86206365,25,83,67,1,7620
19.90889215,25,82,91,0,7740
19.94015455,25,85,78,1,7620
19.98702574,25,83,72,1,7740
20.01827431,25,85,93,2,7620
20.04952645,25,82,71,1,7620
20.08077908,26,84,78,2,7620
20.1120317,25,84,91,2,7740
20.14328408,25,85,68,1,7620
20.17457557,25,82,86,1,7620
20.20584083,25,82,86,0,7620
20.23709345,25,85,69,1,7620
20.26834655,25,83,92,1,7740
20.29958177,25,85,79,2,7740
20.33085132,25,82,71,1,7620
20.36210322,25,84,93,1,7740
20.39336038,26,84,72,1,7740
20.42458487,27,85,78,1,7620
20.45586181,25,82,91,1,7620
20.48711467,25,82,68,1,7620
20.51836729,25,85,86,1,7620
20.5651958,25,83,85,1,7620
20.59647679,25,84,68,2,7740
20.627707,26,81,91,1,7740
20.6589582,25,84,80,1,7740
20.69021177,25,84,71,1,7500
20.72150779,25,85,93,1,7620
20.75276327,25,82,73,1,7620
20.78401303,25,82,78,1,7620
20.81526637,25,84,92,1,7740
20.84651804,25,82,69,1,7620
20.87777233,25,83,85,1,7620
20.90902352,25,81,86,0,7740
20.94023037,25,85,67,2,7620
20.97152853,26,83,90,1,7740
21.0027833,24,86,79,2,7620
21.03403425,25,82,72,0,7740
21.06528568,25,83,93,0,7740
21.09653854,25,84,72,2,7740
21.12779427,25,83,77,1,7620
21.15899491,25,83,91,1,7620
21.19024467,25,81,69,1,7620
21.22149634,25,85,85,1,7620
21.2527492,25,83,85,2,7740
21.28400111,25,85,68,2,7740
21.3309176,26,82,90,1,7740
21.36216974,25,84,80,1,7620
21.39341712,24,84,71,2,7740
21.42466593,26,84,92,1,7620
21.45594239,25,82,73,1,7620
21.48719573,25,81,77,0,7620
21.5184474,25,84,92,1,7620
21.54970026,25,84,69,1,7500
21.58095264,25,85,85,2,7620
21.61220431,25,82,87,0,7740
21.64343905,25,84,68,1,7620
21.67469072,25,84,89,0,7920
21.70596218,25,85,80,2,7740
21.73721528,25,82,71,1,7740
21.76846766,25,82,92,1,7620
21.799721,25,84,74,1,7620
21.84657812,25,83,77,1,7620
21.87780499,25,85,92,1,7620
21.90908289,25,81,68,1,7740
21.94030666,25,84,84,1,7740
21.97161007,25,84,86,1,7620
22.00286174,25,85,68,1,7620
22.0341146,25,82,89,1,7740
22.0653677,25,82,80,0,7740
22.09662008,26,85,70,1,7740
22.12787271,25,83,91,1,7740
22.15910029,25,84,73,1,7620
22.1903708,25,81,76,0,7740
22.22162962,25,84,91,1,7620
22.25288248,25,84,69,2,7620
22.28413486,25,85,83,2,7620
22.31538677,25,82,87,1,7620
22.34659195,25,82,68,1,7620
22.37784028,26,85,90,1,7620
22.40909266,25,83,82,1,7740
22.44034457,25,84,69,1,7740
22.47159719,26,81,92,0,7620
22.50288725,26,85,74,2,7740
22.54973173,25,84,76,1,7740
22.5809927,25,85,92,2,7620
22.61225295,25,82,69,1,7740
22.64353943,26,83,84,1,7620
22.67476726,25,85,87,1,7620
22.70602465,25,84,68,1,7620
22.73729539,25,83,89,1,7500
22.7685492,25,81,81,0,7620
22.79980373,25,84,70,1,7740
22.83105397,25,83,93,1,7620
22.86230588,25,86,74,2,7620
22.89355874,24,82,75,1,7620
22.92479515,25,84,91,1,7740
22.95602036,25,84,69,1,7740
22.98731661,25,84,82,1,7620
23.01856852,25,83,87,1,7620
23.04982424,25,81,68,0,7620
23.081074,25,85,89,1,7740
23.1123271,25,83,81,1,7620
23.15915537,25,85,69,2,7740
23.1904366,25,82,93,1,7620
23.221668,25,84,74,1,7620
23.2529192,25,85,75,1,7740
23.28421497,25,84,92,1,7620
23.31546783,25,83,68,1,7740
23.3467207,26,81,83,0,7740
23.37797308,25,85,88,1,7740
23.40920258,25,83,68,2,7620
23.44045401,25,85,89,1,7740
23.47173047,24,82,82,1,7620
23.50298333,25,84,70,1,7740
23.53423572,25,85,92,1,7740
23.56548834,25,84,76,1,7620
23.59674025,25,83,75,1,7620
23.62799311,26,81,93,0,7620
23.65922618,25,85,64,2,7740
23.69047427,25,83,82,1,7620
23.72175145,25,85,88,2,7740
23.75300288,25,82,68,1,7620
23.79983187,25,83,89,1,7740
23.83111286,25,85,82,2,7740
23.86235642,25,84,70,1,7620
23.89359689,25,83,93,1,7620
23.92487311,25,82,75,1,7740
23.95612216,25,84,75,1,7740
23.98739791,25,83,92,1,7620
24.01864982,25,85,69,1,7740
24.0499022,25,81,81,0,7620
24.08115625,25,83,88,0,7620
24.11240721,25,84,68,2,7620
24.14366007,25,85,88,1,7620
24.17491269,25,83,83,1,7620
24.20614433,25,81,69,1,7620
24.2374177,26,84,92,1,7620
24.26867008,25,84,74,1,7620
24.29992223,25,85,74,1,7620
24.33117533,26,81,92,1,7740
24.362427,25,83,70,2,7740
24.39367938,25,85,81,1,7620
24.44052815,25,84,89,2,7620
24.47177386,25,82,68,2,7620
24.50302601,25,82,87,0,7500
24.53427362,26,85,83,2,7740
24.56556988,25,83,69,1,7620
24.59682536,25,85,92,2,7740
24.62807369,25,81,75,1,7620
24.65930796,25,83,75,1,7740
24.69055533,25,85,92,1,7620
24.7218318,26,85,70,1,7740
24.75308394,26,83,81,0,7740
24.78433704,25,82,90,1,7740
24.81558895,25,85,68,1,7620
24.84684181,25,83,87,1,7620
24.87809491,25,84,83,1,7620
24.90934658,26,81,68,1,7620
24.94057512,25,84,91,1,7620
24.97185135,25,83,76,1,7740
25.00310469,25,85,75,2,7740
25.03435802,25,83,92,1,7620
25.08121634,25,82,70,1,7740
25.0968616,25,85,81,2,7740
25.14370012,25,83,89,1,7620
25.17496943,25,84,68,1,7740
25.20620036,25,81,87,0,7740
25.23750043,25,85,83,1,7740
25.26875067,25,84,69,1,7620
25.30000305,25,86,93,1,7620
25.33125663,25,83,76,1,7740
25.36250901,25,82,73,0,7740
25.39376092,26,85,92,1,7740
25.42498994,25,83,70,1,7620
25.4562428,25,83,80,1,7620
25.48751879,25,81,89,1,7620
25.51877117,25,85,68,2,7740
25.55002356,26,83,87,1,7620
25.58127713,25,85,83,1,7620
25.61252832,25,83,68,1,7740
25.64378381,25,83,91,1,7740
25.67501068,25,85,76,2,7620
25.70626354,24,83,74,1,7620
25.75311565,25,84,93,1,7620
25.78438258,25,81,70,0,7740
25.81562948,25,84,79,1,7740
25.84687972,25,85,90,1,7740
25.87817502,25,85,68,1,7620
25.90942812,25,82,85,1,7740
25.94065619,25,83,84,1,7740
25.97192621,26,84,68,1,7620
26.00318527,25,85,91,2,7740
26.03443813,25,84,76,1,7740
26.06569099,25,82,74,0,7740
26.09694386,25,84,92,1,7620
26.12819529,26,83,71,1,7620
26.15944743,25,84,80,1,7620
26.19070029,25,82,90,1,7740
26.22193146,26,84,69,1,7740
26.2532053,25,84,86,1,7620
26.2844584,25,84,85,1,7500
26.31570983,25,83,63,1,7620
26.34696412,24,82,92,0,7740
26.39379215,26,84,78,1,7620
26.42504787,25,83,74,1,7740
26.45632601,25,85,93,1,7620
26.48755741,26,82,71,1,7620
26.51885176,25,84,80,1,7620
26.55010486,25,84,91,1,7620
26.58135891,27,84,68,1,7740
26.6126101,25,83,85,1,7740
26.64386153,25,82,85,0,7620
26.67509532,25,85,69,2,7740
26.70634341,25,83,91,1,7740
26.73759818,25,84,78,2,7620
26.76887155,25,82,73,0,7920
26.80012536,26,84,93,1,7620
26.83137774,25,84,72,1,7740
